id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25
2022-12-25 21,16.4,0.165,35.2,13.0,8.7
2022-12-25 22,12.5,0.155,40.2,10.8,7.1
2022-12-25 23,10.8,0.138,44.3,9.0,5.8
2022-12-26 00,10.3,0.139,41.4,9.7,6.1
2022-12-26 01,6.8,0.116,52.0,7.6,4.9
2022-12-26 02,6.4,0.11,56.2,6.3,3.9
2022-12-26 03,7.8,0.108,58.7,4.9,2.9
2022-12-26 04,9.2,0.112,58.4,4.3,2.5
2022-12-26 05,11.8,0.116,56.2,4.6,2.7
2022-12-26 06,16.5,0.12,54.4,5.1,2.8
2022-12-26 07,21.4,0.185,48.6,5.3,3.2
2022-12-26 08,20.6,0.154,50.0,7.4,3.9
2022-12-26 09,16.9,0.141,56.2,8.7,4.0
2022-12-26 10,16.9,0.148,54.8,8.1,3.8
2022-12-26 11,14.8,0.154,56.5,8.5,4.5
2022-12-26 12,13.4,0.142,57.4,8.9,4.4
2022-12-26 13,17.0,0.152,55.5,9.0,4.7
2022-12-26 14,17.9,0.16,54.9,9.6,4.6
2022-12-26 15,23.1,0.158,50.6,9.5,4.8
2022-12-26 16,25.9,0.167,47.7,9.7,5.0
2022-12-26 17,30.8,0.188,42.5,10.9,5.6
2022-12-26 18,31.1,0.206,42.4,11.2,6.1
2022-12-26 19,36.2,0.261,36.6,13.3,9.0
2022-12-26 20,36.8,0.242,35.8,13.8,9.3
2022-12-26 21,20.9,0.185,50.2,12.5,7.5
2022-12-26 22,19.7,0.185,51.9,10.3,6.5
2022-12-26 23,14.7,0.168,55.7,9.8,5.9
2022-12-27 00,16.5,0.164,49.8,11.6,6.5
2022-12-27 01,15.3,0.162,47.8,12.0,7.0
2022-12-27 02,15.4,0.172,45.9,10.6,6.6
2022-12-27 03,15.5,0.159,45.3,11.3,6.4
2022-12-27 04,20.8,0.179,38.6,10.2,6.6
2022-12-27 05,31.1,0.193,28.4,11.1,7.0
2022-12-27 06,49.2,0.255,9.0,12.6,7.8
2022-12-27 07,51.2,0.307,6.5,13.8,8.1
2022-12-27 08,52.0,0.361,3.9,22.1,10.0
2022-12-27 09,42.3,0.285,14.3,18.8,9.8
2022-12-27 10,37.0,0.277,24.5,18.3,9.9
2022-12-27 11,29.7,0.234,39.5,20.5,12.5
2022-12-27 12,26.1,0.211,45.2,19.6,12.4
2022-12-27 13,19.2,0.194,54.6,20.9,11.5
2022-12-27 14,21.4,0.209,52.9,20.2,10.6
2022-12-27 15,29.2,0.209,42.0,20.3,11.3
2022-12-27 16,33.6,0.242,32.0,21.7,12.6
2022-12-27 17,24.6,0.233,32.0,22.9,17.0
2022-12-27 18,22.0,0.221,33.3,19.8,16.7
2022-12-27 19,20.6,0.215,37.2,17.1,14.6
2022-12-27 20,23.8,0.225,34.1,14.4,12.3
2022-12-27 21,18.5,0.194,38.3,12.6,10.0
2022-12-27 22,15.0,0.183,41.5,10.8,8.0
2022-12-27 23,11.4,0.157,47.0,9.3,6.9
2022-12-28 00,8.4,0.147,51.4,9.2,6.0
2022-12-28 01,8.0,0.143,53.0,9.1,5.9
2022-12-28 02,7.8,0.143,53.5,8.2,5.3
2022-12-28 03,7.8,0.14,51.4,8.4,5.5
2022-12-28 04,9.0,0.133,51.6,7.5,5.2
2022-12-28 05,12.2,0.137,49.1,6.8,4.7
2022-12-28 06,18.2,0.147,43.5,8.2,5.3
2022-12-28 07,17.1,0.191,46.1,9.6,5.8
2022-12-28 08,15.8,0.219,49.1,10.3,6.2
2022-12-28 09,16.7,0.19759081669880643,50.7,13.4,8.1
2022-12-28 10,16.2,0.171,53.3,12.1,9.0
2022-12-28 11,15.0,0.161,54.7,11.2,7.4
2022-12-28 12,16.1,0.181,53.5,13.3,9.0
2022-12-28 13,15.2,0.16,53.3,11.6,8.0
2022-12-28 14,15.1,0.155,51.9,11.5,7.5
2022-12-28 15,17.8,0.172,47.4,10.5,7.5
2022-12-28 16,18.5,0.181,44.8,9.0,6.3
2022-12-28 17,15.4,0.163,48.6,8.5,6.7
2022-12-28 18,13.1,0.164,49.8,11.2,9.4
2022-12-28 19,12.7,0.167,49.0,11.0,9.2
2022-12-28 20,11.5,0.158,52.4,8.1,7.0
2022-12-28 21,10.4,0.141,56.0,5.8,4.9
2022-12-28 22,8.9,0.141,57.2,4.2,3.1
2022-12-28 23,7.8,0.127,59.1,3.4,2.3
2022-12-29 00,6.3,0.117,61.8,3.4,2.3
2022-12-29 01,6.5,0.113,62.6,4.0,2.5
2022-12-29 02,4.4,0.102,78.1,2.2,1.3
2022-12-29 03,5.7,0.109,75.7,3.7,2.1
2022-12-29 04,7.3,0.115,70.2,5.1,2.6
2022-12-29 05,10.2,0.12,66.2,6.0,3.1
2022-12-29 06,13.4,0.129,61.9,8.5,4.6
2022-12-29 07,16.3,0.141,57.0,8.5,4.6
2022-12-29 08,17.6,0.159,53.7,13.0,5.9
2022-12-29 09,17.4,0.158,52.8,15.9,8.3
2022-12-29 10,15.2,0.155,53.9,15.6,7.9
2022-12-29 11,13.9,0.166,55.8,17.8,9.2
2022-12-29 12,13.5,0.163,56.9,19.7,10.3
2022-12-29 13,14.1,0.157,57.1,21.5,9.9
2022-12-29 14,15.5,0.156,55.6,20.3,8.8
2022-12-29 15,22.7,0.172,47.3,17.3,8.3
2022-12-29 16,28.6,0.197,39.4,17.9,8.7
2022-12-29 17,36.9,0.247,29.5,19.5,10.1
2022-12-29 18,38.8,0.275,25.9,22.4,14.3
2022-12-29 19,30.6,0.245,33.2,22.9,14.0
2022-12-29 20,25.7,0.229,36.3,20.1,13.0
2022-12-29 21,24.1,0.217,36.2,16.8,11.1
2022-12-29 22,21.2,0.233,35.7,14.3,9.1
2022-12-29 23,24.8,0.233,28.9,13.4,8.7
2022-12-30 00,30.5,0.246,19.4,14.2,9.7
2022-12-30 01,20.4,0.203,27.1,11.9,8.0
2022-12-30 02,17.1,0.192,29.1,12.8,8.5
2022-12-30 03,14.2,0.17,33.2,13.3,9.3
2022-12-30 04,13.7,0.156,36.6,10.0,7.2
2022-12-30 05,18.2,0.147,34.3,10.5,7.1
2022-12-30 06,19.7,0.147,38.6,12.3,6.9
2022-12-30 07,19.8,0.187,41.9,12.4,6.3
2022-12-30 08,20.8,0.182,40.3,10.7,5.1
2022-12-30 09,22.0,0.185,37.5,9.1,4.8
2022-12-30 10,22.4,0.19,42.3,7.4,4.7
2022-12-30 11,15.8,0.158,49.8,5.3,3.9
2022-12-30 12,13.8,0.149,48.5,7.0,5.9
2022-12-30 13,14.0,0.153,45.1,5.6,4.2
2022-12-30 14,16.0,0.165,42.0,4.5,3.3
2022-12-30 15,19.4,0.175,37.5,4.9,3.5
2022-12-30 16,21.9,0.17,38.4,3.7,2.8
2022-12-30 17,20.4,0.161,42.4,4.5,3.2
2022-12-30 18,20.7,0.175,41.3,6.7,5.4
2022-12-30 19,18.9,0.179,40.0,9.7,8.1
2022-12-30 20,16.9,0.149,44.0,7.1,5.7
2022-12-30 21,12.1,0.13,50.7,4.6,3.6
2022-12-30 22,8.5,0.117,55.4,4.2,2.6
2022-12-30 23,7.6,0.103,54.7,4.9,3.0
2022-12-31 00,7.0,0.104,53.5,5.6,3.2
2022-12-31 01,6.2,0.101,53.0,5.0,2.9
2022-12-31 02,5.3,0.102,52.6,5.0,2.7
2022-12-31 03,5.3,0.103,49.0,4.9,2.8
2022-12-31 04,5.7,0.106,47.8,6.7,3.6
2022-12-31 05,7.4,0.112,46.5,8.1,4.3
2022-12-31 06,8.3,0.112,45.2,9.0,4.8
2022-12-31 07,8.4,0.124,45.7,10.3,5.2
2022-12-31 08,9.4,0.156,41.7,10.9,5.6
2022-12-31 09,9.9,0.138,40.7,12.3,7.0
2022-12-31 10,11.2,0.154,42.9,16.6,11.1
2022-12-31 11,10.6,0.146,44.5,15.0,7.7
2022-12-31 12,12.8,0.146,43.2,19.3,9.7
2022-12-31 13,12.0,0.151,44.0,24.0,10.8
2022-12-31 14,13.7,0.157,42.7,23.3,11.5
2022-12-31 15,14.8,0.154,41.1,26.5,14.7
2022-12-31 16,16.4,0.171,40.9,18.8,9.2
2022-12-31 17,16.2,0.161,41.7,19.8,10.1
2022-12-31 18,15.7,0.162,42.6,20.5,11.1
2022-12-31 19,15.8,0.166,42.8,22.3,13.0
2022-12-31 20,15.1,0.155,45.2,19.1,11.1
2022-12-31 21,17.4,0.17,43.3,20.5,13.0
2022-12-31 22,15.2,0.16,45.4,15.7,9.0
2022-12-31 23,12.7,0.144,46.8,13.8,7.1
2023-01-01 00,12.1,0.142,45.1,14.8,7.1
2023-01-01 01,11.3,0.14,44.7,14.7,7.8
2023-01-01 02,11.0,0.136,44.4,15.3,8.2
2023-01-01 03,9.1,0.13,45.6,16.8,8.4
2023-01-01 04,10.4,0.136,43.8,16.5,8.5
2023-01-01 05,8.9,0.133,46.9,15.7,8.4
2023-01-01 06,7.3,0.123,49.0,16.9,8.5
2023-01-01 07,7.8,0.128,51.1,15.5,8.1
2023-01-01 08,9.5,0.172,49.6,15.7,8.7
2023-01-01 09,10.2,0.146,48.0,16.3,9.4
2023-01-01 10,15.4,0.175,40.6,17.4,9.8
2023-01-01 11,17.4,0.166,37.4,15.5,9.5
2023-01-01 12,23.9,0.186,32.1,15.8,10.4
2023-01-01 13,25.6,0.193,27.1,15.1,10.4
2023-01-01 14,26.0,0.182,19.1,17.9,12.3
2023-01-01 15,31.6,0.208,12.9,19.8,13.8
2023-01-01 16,36.4,0.222,8.6,20.3,13.6
2023-01-01 17,28.0,0.222,14.1,20.3,13.6
2023-01-01 18,38.6,0.28,5.1,22.8,16.3
2023-01-01 19,44.3,0.314,4.6,26.3,18.8
2023-01-01 20,41.5,0.307,11.1,26.9,19.2
2023-01-01 21,29.6,0.241,26.0,23.4,15.0
2023-01-01 22,19.5,0.197,36.8,20.8,11.4
2023-01-01 23,9.2,0.135,50.8,16.3,8.3
2023-01-02 00,6.7,0.118,54.3,12.2,6.4
2023-01-02 01,6.7,0.116,54.9,8.9,5.3
2023-01-02 02,7.2,0.114,54.8,6.8,4.2
2023-01-02 03,6.8,0.108,59.6,4.0,2.4
2023-01-02 04,7.5,0.113,63.8,1.6,0.8
2023-01-02 05,12.9,0.124,56.7,1.5,0.9
2023-01-02 06,22.2,0.155,46.3,2.1,1.1
2023-01-02 07,28.5,0.219,41.1,2.8,1.3
2023-01-02 08,28.6,0.218,42.9,5.5,2.2
2023-01-02 09,23.3,0.163,47.8,5.5,2.3
2023-01-02 10,23.1,0.166,47.0,6.4,2.5
2023-01-02 11,19.5,0.153,51.0,5.2,3.0
2023-01-02 12,16.3,0.148,56.2,5.9,3.3
2023-01-02 13,14.2,0.14,59.6,6.6,3.2
2023-01-02 14,16.2,0.151,58.5,7.2,3.2
2023-01-02 15,26.0,0.171,50.6,7.5,3.4
2023-01-02 16,36.3,0.212,38.7,9.2,4.5
2023-01-02 17,42.0,0.25,31.1,10.4,6.7
2023-01-02 18,49.2,0.316,21.4,15.9,11.4
2023-01-02 19,45.0,0.281,24.8,13.1,9.2
2023-01-02 20,50.3,0.333,17.3,18.9,15.2
2023-01-02 21,49.7,0.316,15.7,16.0,12.9
2023-01-02 22,54.5,0.343,7.4,16.7,13.7
2023-01-02 23,53.3,0.365,1.8,20.7,17.7
2023-01-03 00,39.5,0.301,8.3,18.3,15.3
2023-01-03 01,25.5,0.239,21.0,14.6,11.7
2023-01-03 02,23.6,0.228,22.2,12.3,9.7
2023-01-03 03,25.3,0.224,19.9,11.1,8.3
2023-01-03 04,16.7,0.164,38.6,10.6,7.1
2023-01-03 05,15.4,0.147,46.2,10.1,6.3
2023-01-03 06,27.6,0.183,36.4,7.9,5.9
2023-01-03 07,36.8,0.218,28.7,10.4,6.9
2023-01-03 08,30.5,0.253,34.8,12.1,7.8
2023-01-03 09,30.6,0.223,31.8,15.8,9.3
2023-01-03 10,24.9,0.232,37.9,15.0,8.3
2023-01-03 11,23.3,0.205,38.8,17.0,10.0
2023-01-03 12,19.1,0.192,45.0,17.9,11.3
2023-01-03 13,18.8,0.187,46.5,18.0,9.8
2023-01-03 14,20.0,0.188,46.8,17.9,9.3
2023-01-03 15,21.2,0.184,46.4,14.9,8.7
2023-01-03 16,30.5,0.233,37.5,16.6,10.6
2023-01-03 17,31.0,0.223,32.4,15.8,9.5
2023-01-03 18,30.6,0.235,29.9,17.6,11.7
2023-01-03 19,24.6,0.224,34.9,18.5,13.6
2023-01-03 20,21.8,0.211,37.7,15.3,11.6
2023-01-03 21,14.8,0.175,49.8,10.4,7.6
2023-01-03 22,9.5,0.146,58.7,7.2,4.9
2023-01-03 23,7.5,0.135,60.2,6.3,4.4
2023-01-04 00,6.7,0.131,60.5,6.7,4.1
2023-01-04 01,5.9,0.125,61.8,6.4,4.2
2023-01-04 02,5.8,0.124,61.9,7.1,4.4
2023-01-04 03,6.4,0.123,61.0,6.5,3.9
2023-01-04 04,7.3,0.123,60.6,5.5,3.2
2023-01-04 05,11.7,0.134,54.5,4.4,2.9
2023-01-04 06,20.5,0.145,45.1,3.1,2.1
2023-01-04 07,22.6,0.171,42.5,3.5,2.0
2023-01-04 08,24.5,0.189,41.7,7.2,3.1
2023-01-04 09,21.7,0.192,43.8,5.9,3.1
2023-01-04 10,19.8,0.173,45.2,5.3,3.0
2023-01-04 11,18.9,0.17,44.8,6.5,4.3
2023-01-04 12,21.9,0.191,40.3,7.2,5.5
2023-01-04 13,20.5,0.179,41.9,6.9,4.7
2023-01-04 14,26.0,0.204,35.1,5.7,3.4
2023-01-04 15,23.5,0.182,40.3,5.1,2.9
2023-01-04 16,23.4,0.175,43.7,4.5,2.5
2023-01-04 17,21.9,0.186,44.0,4.2,3.0
2023-01-04 18,20.8,0.201,43.9,5.3,4.1
2023-01-04 19,15.0,0.179,52.3,6.3,5.1
2023-01-04 20,14.4,0.169,52.8,5.1,3.9
2023-01-04 21,10.7,0.152,55.4,4.3,2.8
2023-01-04 22,9.4,0.136,56.5,2.8,1.8
2023-01-04 23,7.9,0.125,57.8,1.9,1.1
2023-01-05 00,6.8,0.121,58.1,2.1,1.1
2023-01-05 01,6.1,0.118,59.2,3.3,1.7
2023-01-05 02,6.7,0.121,57.8,5.3,2.8
2023-01-05 03,6.1,0.117,59.9,5.8,3.3
2023-01-05 04,6.9,0.118,60.3,6.8,4.1
2023-01-05 05,12.5,0.128,53.9,4.4,2.5
2023-01-05 06,21.0,0.143,44.5,3.7,2.1
2023-01-05 07,29.8,0.176,34.8,4.1,2.1
2023-01-05 08,38.6,0.22,24.9,8.2,2.9
2023-01-05 09,31.1,0.19759081669880643,33.0,7.9,2.7
2023-01-05 10,26.8,0.19,35.2,11.5,3.7
2023-01-05 11,26.0,0.213,37.1,8.3,4.2
2023-01-05 12,25.8,0.205,38.0,9.9,5.6
2023-01-05 13,21.7,0.177,43.9,8.0,3.8
2023-01-05 14,29.4,0.19,35.9,8.7,4.0
2023-01-05 15,24.7,0.168,45.5,6.6,3.4
2023-01-05 16,23.0,0.164,49.1,5.0,2.8
2023-01-05 17,29.2,0.199,43.3,4.0,3.0
2023-01-05 18,26.6,0.228,47.8,7.2,5.0
2023-01-05 19,24.5,0.217,50.4,12.7,10.1
2023-01-05 20,24.1,0.199,52.8,11.4,8.6
2023-01-05 21,21.2,0.209,48.4,10.7,7.5
2023-01-05 22,15.7,0.186,50.5,8.3,5.4
2023-01-05 23,14.3,0.163,53.0,5.8,3.6
2023-01-06 00,10.5,0.135,58.9,4.4,2.6
2023-01-06 01,8.4,0.122,61.2,3.6,2.1
2023-01-06 02,8.5,0.125,59.2,3.0,1.8
2023-01-06 03,8.1,0.122,58.4,2.9,1.8
2023-01-06 04,9.8,0.129,55.7,2.7,1.5
2023-01-06 05,14.6,0.135,50.9,3.1,1.5
2023-01-06 06,25.4,0.151,41.5,3.2,1.7
2023-01-06 07,29.2,0.182,37.9,5.3,2.3
2023-01-06 08,30.1,0.212,36.1,7.6,3.2
2023-01-06 09,28.0,0.197,37.0,11.1,5.6
2023-01-06 10,28.4,0.22,36.3,15.6,6.6
2023-01-06 11,21.9,0.193,42.0,12.9,6.5
2023-01-06 12,20.6,0.19,44.8,12.3,7.9
2023-01-06 13,22.7,0.192,43.4,12.1,7.0
2023-01-06 14,22.0,0.185,45.0,12.1,5.7
2023-01-06 15,20.2,0.177,47.1,10.4,4.9
2023-01-06 16,23.0,0.222,42.1,11.7,6.4
2023-01-06 17,25.7,0.245,37.9,12.1,8.0
2023-01-06 18,25.4,0.237,38.1,15.9,10.7
2023-01-06 19,23.1,0.233,38.4,16.8,12.5
2023-01-06 20,28.4,0.229,29.9,16.7,13.2
2023-01-06 21,31.2,0.236,24.9,15.0,11.7
2023-01-06 22,23.6,0.225,33.7,12.0,8.5
2023-01-06 23,17.5,0.186,42.5,8.5,6.4
2023-01-07 00,15.2,0.171,47.2,7.2,5.0
2023-01-07 01,13.7,0.158,48.4,6.9,4.3
2023-01-07 02,13.9,0.149,47.3,6.0,3.8
2023-01-07 03,14.6,0.144,48.8,4.8,3.2
2023-01-07 04,15.9,0.15,49.5,4.8,2.9
2023-01-07 05,14.0,0.156,44.9,6.4,3.9
2023-01-07 06,20.7,0.197,34.2,7.1,4.7
2023-01-07 07,22.5,0.181,30.4,7.6,4.8
2023-01-07 08,22.2,0.199,30.7,8.5,5.1
2023-01-07 09,18.0,0.195,34.1,10.2,6.5
2023-01-07 10,17.6,0.2,36.7,13.3,8.9
2023-01-07 11,15.0,0.19,39.5,12.5,7.7
2023-01-07 12,12.5,0.174,46.4,16.2,9.8
2023-01-07 13,12.5,0.179,46.2,18.5,10.7
2023-01-07 14,13.9,0.184,44.4,16.1,10.3
2023-01-07 15,16.7,0.207,43.3,12.9,8.7
2023-01-07 16,21.1,0.208,37.9,11.5,9.0
2023-01-07 17,18.0,0.205,44.1,11.2,9.0
2023-01-07 18,16.8,0.197,46.1,12.7,10.8
2023-01-07 19,16.3,0.197,46.8,15.8,13.3
2023-01-07 20,15.9,0.191,45.9,14.6,12.4
2023-01-07 21,14.9,0.21,45.4,13.8,11.2
2023-01-07 22,12.0,0.201,49.6,12.3,9.8
2023-01-07 23,10.7,0.165,50.8,9.1,6.6
2023-01-08 00,9.7,0.149,51.8,9.4,6.5
2023-01-08 01,9.0,0.145,53.4,7.3,5.5
2023-01-08 02,8.9,0.138,58.4,7.6,4.8
2023-01-08 03,8.0,0.135,61.6,6.6,4.3
2023-01-08 04,6.5,0.13,64.7,5.6,3.8
2023-01-08 05,6.3,0.127,67.4,4.5,2.9
2023-01-08 06,11.8,0.131,67.6,2.7,1.3
2023-01-08 07,15.8,0.203,56.8,3.4,2.1
2023-01-08 08,15.3,0.174,53.3,5.1,2.9
2023-01-08 09,15.2,0.19,56.7,5.3,2.9
2023-01-08 10,13.2,0.176,61.5,7.6,4.1
2023-01-08 11,9.7,0.147,68.0,11.5,5.8
2023-01-08 12,12.1,0.165,65.4,13.2,8.2
2023-01-08 13,11.2,0.158,64.5,10.8,7.6
2023-01-08 14,12.6,0.165,64.4,9.3,6.4
2023-01-08 15,14.3,0.188,59.3,10.5,7.1
2023-01-08 16,14.2,0.17,58.8,12.5,9.2
2023-01-08 17,15.5,0.202,57.6,8.1,6.6
2023-01-08 18,16.8,0.191,58.9,7.3,6.1
2023-01-08 19,18.1,0.19,58.5,6.3,5.5
2023-01-08 20,13.8,0.161,64.1,3.5,2.7
2023-01-08 21,10.3,0.152,69.2,3.7,2.4
2023-01-08 22,9.6,0.144,67.9,4.8,2.7
2023-01-08 23,9.6,0.14,66.4,6.7,3.2
2023-01-09 00,9.0,0.143,65.0,8.8,4.5
2023-01-09 01,7.7,0.13,66.1,12.1,5.9
2023-01-09 02,7.9,0.131,65.6,12.6,6.5
2023-01-09 03,7.5,0.131,66.2,12.2,6.4
2023-01-09 04,9.6,0.13,64.9,10.5,5.8
2023-01-09 05,14.0,0.138,60.3,9.3,5.1
2023-01-09 06,17.2,0.139,59.4,8.3,4.0
2023-01-09 07,22.1,0.163,54.5,6.9,3.4
2023-01-09 08,21.1,0.169,54.8,8.7,3.5
2023-01-09 09,17.6,0.149,59.6,7.2,2.8
2023-01-09 10,16.1,0.15,60.9,7.1,3.1
2023-01-09 11,13.0,0.146,63.5,6.6,3.5
2023-01-09 12,13.5,0.148,63.9,8.4,4.3
2023-01-09 13,14.8,0.145,63.1,16.56614280170741,3.8030584199434543
2023-01-09 14,15.3,0.15,60.6,16.56614280170741,3.3604003682700156
2023-01-09 15,18.6,0.166,55.4,7.0,3.3
2023-01-09 16,22.7,0.17,52.7,9.5,4.8
2023-01-09 17,16.7,0.164,63.7,7.6,4.5
2023-01-09 18,23.9,0.192,54.1,9.4,5.7
2023-01-09 19,25.5,0.201,49.5,13.6,7.3
2023-01-09 20,18.8,0.181,55.8,14.7,6.8
2023-01-09 21,16.6,0.182,55.9,13.2,7.1
2023-01-09 22,13.7,0.169,57.4,14.6,7.6
2023-01-09 23,13.0,0.156,57.1,14.9,7.7
2023-01-10 00,10.0,0.148,59.6,15.9,7.9
2023-01-10 01,11.2,0.149,58.1,17.9,8.4
2023-01-10 02,13.4,0.158,54.2,16.7,8.1
2023-01-10 03,13.2,0.15,52.0,12.8,7.1
2023-01-10 04,19.5,0.172,41.7,13.1,6.8
2023-01-10 05,27.4,0.186,32.3,11.7,6.8
2023-01-10 06,45.8,0.216,14.7,12.4,7.1
2023-01-10 07,54.0,0.275,6.8,14.3,8.0
2023-01-10 08,52.0,0.316,6.6,21.1,9.5
2023-01-10 09,49.0,0.281,8.8,21.5,10.3
2023-01-10 10,20.61335561008719,0.244,17.0686190440368,16.3,9.6
2023-01-10 11,20.61335561008719,0.225,24.16838795253301,14.4,9.6
2023-01-10 12,20.61335561008719,0.192,29.183519161227498,13.5,9.4
2023-01-10 13,20.61335561008719,0.205,32.28618721042273,10.7,6.8
2023-01-10 14,26.9,0.209,34.0,7.2,4.6
2023-01-10 15,27.0,0.21,32.3,6.2,4.1
2023-01-10 16,30.3,0.249,27.4,6.2,4.6
2023-01-10 17,27.9,0.236,28.3,7.1,6.0
2023-01-10 18,27.5,0.238,28.1,14.2,11.4
2023-01-10 19,24.0,0.219,30.8,14.2,11.1
2023-01-10 20,19.9,0.199,34.6,11.0,8.6
2023-01-10 21,15.0,0.19759081669880643,40.7,8.3,6.5
2023-01-10 22,12.5,0.19759081669880643,43.5,5.1,3.5
2023-01-10 23,9.4,0.19759081669880643,47.2,4.3,2.7
2023-01-11 00,7.5,0.19759081669880643,48.8,3.6,2.3
2023-01-11 01,6.8,0.19759081669880643,48.2,2.9,1.6
2023-01-11 02,6.6,0.19759081669880643,49.6,1.3,0.8
2023-01-11 03,6.6,0.19759081669880643,50.8,0.8,0.5
2023-01-11 04,13.3,0.19759081669880643,44.4,1.3,0.5
2023-01-11 05,13.7,0.19759081669880643,58.9,2.3,1.2
2023-01-11 06,27.7,0.19759081669880643,51.7,7.2,3.9
2023-01-11 07,37.7,0.19759081669880643,41.7,10.9,5.2
2023-01-11 08,34.1,0.193,43.9,12.9,5.9
2023-01-11 09,28.4,0.18,48.8,15.1,7.3
2023-01-11 10,22.5,0.167,55.5,12.8,6.1
2023-01-11 11,17.6,0.16,59.0,12.9,6.8
2023-01-11 12,14.9,0.157,61.7,13.5,7.2
2023-01-11 13,15.2,0.153,61.9,16.6,7.5
2023-01-11 14,16.8,0.154,60.2,16.6,7.1
2023-01-11 15,22.2,0.168,54.1,16.6,7.1
2023-01-11 16,24.5,0.184,47.9,15.9,7.4
2023-01-11 17,26.3,0.208,43.6,15.3,8.2
2023-01-11 18,26.8,0.234,42.4,16.9,9.9
2023-01-11 19,19.6,0.197,50.2,16.6,9.9
2023-01-11 20,15.2,0.174,55.8,16.6,9.5
2023-01-11 21,12.2,0.154,58.8,15.8,9.0
2023-01-11 22,12.2,0.158,57.8,15.5,8.8
2023-01-11 23,10.9,0.149,57.7,15.0,8.7
2023-01-12 00,8.7,0.138,60.0,14.4,8.4
2023-01-12 01,8.1,0.132,61.3,13.8,7.7
2023-01-12 02,6.8,0.127,63.6,12.6,7.2
2023-01-12 03,6.8,0.128,64.2,11.8,6.8
2023-01-12 04,8.2,0.124,62.4,11.7,6.5
2023-01-12 05,11.4,0.124,61.7,13.4,7.1
2023-01-12 06,16.1,0.132,57.1,11.7,6.2
2023-01-12 07,23.2,0.193,50.4,9.0,5.1
2023-01-12 08,25.9,0.187,48.8,12.3,5.4
2023-01-12 09,24.7,0.181,48.6,10.6,5.3
2023-01-12 10,25.1,0.208,48.4,12.5,5.7
2023-01-12 11,21.1,0.185,52.0,11.8,6.6
2023-01-12 12,18.8,0.178,55.0,11.3,6.7
2023-01-12 13,18.7,0.174,54.6,10.4,5.2
2023-01-12 14,21.4,0.182,50.6,10.2,5.1
2023-01-12 15,17.6,0.161,55.5,10.4,5.3
2023-01-12 16,17.2,0.163,56.1,8.4,5.0
2023-01-12 17,18.0,0.18,54.8,7.4,4.7
2023-01-12 18,17.3,0.185,56.2,7.3,4.6
2023-01-12 19,15.0,0.171,60.4,6.9,5.0
2023-01-12 20,13.5,0.156,62.8,7.0,5.2
2023-01-12 21,12.1,0.158,62.9,5.1,3.7
2023-01-12 22,11.2,0.155,61.9,3.5,2.9
2023-01-12 23,10.4,0.146,60.6,2.6,2.1
2023-01-13 00,9.2,0.129,68.9,2.5,1.6
2023-01-13 01,9.8,0.132,74.2,2.7,1.6
2023-01-13 02,8.2,0.127,75.5,5.5,3.0
2023-01-13 03,6.7,0.121,74.9,6.3,3.6
2023-01-13 04,6.3,0.116,74.3,5.5,3.2
2023-01-13 05,11.0,0.125,68.5,7.0,3.7
2023-01-13 06,20.3,0.14,59.1,9.5,5.0
2023-01-13 07,26.9,0.163,51.5,12.0,6.1
2023-01-13 08,26.1,0.169,50.2,15.5,6.8
2023-01-13 09,22.7,0.156,54.3,15.6,7.4
2023-01-13 10,18.4,0.155,59.7,12.9,6.1
2023-01-13 11,15.8,0.155,62.7,10.6,5.7
2023-01-13 12,13.8,0.148,67.6,13.6,7.1
2023-01-13 13,14.0,0.143,68.2,17.0,7.7
2023-01-13 14,15.8,0.147,65.7,14.8,7.3
2023-01-13 15,19.1,0.157,61.9,12.9,6.4
2023-01-13 16,23.7,0.171,55.3,12.8,6.7
2023-01-13 17,25.4,0.189,52.8,14.6,7.1
2023-01-13 18,35.1,0.262,40.8,14.1,8.9
2023-01-13 19,30.7,0.256,45.8,18.2,12.4
2023-01-13 20,29.7,0.241,44.0,20.1,13.6
2023-01-13 21,25.0,0.226,45.7,20.2,13.2
2023-01-13 22,21.6,0.207,47.0,20.4,12.4
2023-01-13 23,19.5,0.2,48.0,16.6,9.9
2023-01-14 00,19.3,0.19,46.5,10.6,7.0
2023-01-14 01,20.6,0.19,39.7,6.2,5.2
2023-01-14 02,17.0,0.17,42.9,5.1,4.1
2023-01-14 03,10.0,0.138,60.3,6.5,4.2
2023-01-14 04,8.2,0.127,63.7,11.3,6.4
2023-01-14 05,8.3,0.127,65.8,12.2,6.9
2023-01-14 06,9.3,0.131,66.4,10.2,5.9
2023-01-14 07,10.8,0.149,63.6,9.3,5.7
2023-01-14 08,11.1,0.156,60.8,7.9,4.7
2023-01-14 09,15.0,0.169,55.4,7.1,5.2
2023-01-14 10,13.7,0.185,54.7,6.6,5.0
2023-01-14 11,13.2,0.163,54.2,7.2,5.6
2023-01-14 12,14.9,0.173,49.8,7.1,5.5
2023-01-14 13,13.2,0.167,49.1,7.5,5.3
2023-01-14 14,15.4,0.179,45.5,6.8,5.8
2023-01-14 15,16.7,0.171,44.2,5.0,4.1
2023-01-14 16,17.2,0.182,42.0,5.1,4.1
2023-01-14 17,20.0,0.214,39.5,5.3,4.1
